datetime,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,winddirection_10m,cloudcover,pressure_msl,dew_point_2m
2018-01-01 00:00:00,11.4,81,0.0,1.9,22,0,1014.5,8.3
2018-01-01 01:00:00,9.5,88,0.0,9.5,245,0,1014.5,7.5
2018-01-01 02:00:00,8.6,88,0.0,6.0,253,0,1013.8,6.8
2018-01-01 03:00:00,8.2,88,0.0,7.3,261,0,1013.5,6.3
2018-01-01 04:00:00,7.9,88,0.0,8.0,275,0,1013.3,6.0
2018-01-01 05:00:00,7.4,91,0.0,7.6,270,0,1013.8,6.1
2018-01-01 06:00:00,7.0,92,0.0,7.2,264,0,1014.3,5.8
2018-01-01 07:00:00,6.8,93,0.0,5.1,278,0,1015.2,5.7
2018-01-01 08:00:00,9.2,83,0.0,2.2,261,0,1016.0,6.5
2018-01-01 09:00:00,12.7,70,0.0,2.8,230,0,1016.6,7.4
2018-01-01 10:00:00,15.7,60,0.0,2.8,220,0,1017.0,7.9
2018-01-01 11:00:00,17.7,52,0.0,2.8,230,0,1016.4,7.8
2018-01-01 12:00:00,18.9,46,0.0,4.0,270,0,1015.3,7.0
2018-01-01 13:00:00,19.6,41,0.0,6.7,286,0,1013.9,5.9
2018-01-01 14:00:00,19.9,37,0.0,8.6,292,0,1012.8,4.9
2018-01-01 15:00:00,19.9,35,0.0,9.5,295,0,1012.4,3.9
2018-01-01 16:00:00,19.3,38,0.0,8.3,304,0,1012.5,4.5
2018-01-01 17:00:00,15.9,61,0.0,8.7,353,2,1013.2,8.5
2018-01-01 18:00:00,14.4,68,0.0,9.1,18,8,1013.5,8.6
2018-01-01 19:00:00,13.3,73,0.0,8.9,32,5,1014.1,8.5
2018-01-01 20:00:00,12.7,75,0.0,5.9,43,4,1014.3,8.3
2018-01-01 21:00:00,13.9,64,0.0,4.1,52,3,1014.8,7.3
2018-01-01 22:00:00,13.5,67,0.0,1.8,53,1,1014.8,7.4
2018-01-01 23:00:00,12.8,70,0.0,1.3,326,0,1014.8,7.4
2018-01-02 00:00:00,12.2,73,0.0,2.5,278,0,1014.7,7.5
2018-01-02 01:00:00,9.9,84,0.0,5.4,278,0,1014.3,7.3
2018-01-02 02:00:00,8.6,89,0.0,6.6,279,0,1013.9,6.9
2018-01-02 03:00:00,8.2,90,0.0,7.6,270,0,1013.8,6.6
2018-01-02 04:00:00,7.7,91,0.0,7.6,270,0,1013.6,6.2
2018-01-02 05:00:00,6.6,93,0.0,6.8,267,0,1014.0,5.5
2018-01-02 06:00:00,7.2,92,0.0,7.3,250,2,1014.4,5.9
2018-01-02 07:00:00,7.0,92,0.0,7.5,253,1,1015.3,5.8
2018-01-02 08:00:00,9.3,82,0.0,5.4,262,3,1016.2,6.5
2018-01-02 09:00:00,12.7,72,0.0,4.0,275,1,1017.0,7.7
2018-01-02 10:00:00,15.5,65,0.0,4.0,280,0,1017.1,8.9
2018-01-02 11:00:00,17.3,55,0.0,5.1,278,0,1016.5,8.1
2018-01-02 12:00:00,18.5,51,0.0,6.8,295,0,1015.6,8.1
2018-01-02 13:00:00,19.3,49,0.0,7.7,311,0,1014.4,8.3
2018-01-02 14:00:00,19.8,47,0.0,8.7,322,0,1013.4,8.3
2018-01-02 15:00:00,19.9,47,0.0,9.5,323,0,1013.0,8.2
2018-01-02 16:00:00,19.4,49,0.0,8.4,320,0,1013.0,8.4
2018-01-02 17:00:00,16.6,65,0.0,4.1,345,0,1013.8,10.0
2018-01-02 18:00:00,16.0,65,0.0,3.3,6,0,1014.1,9.4
2018-01-02 19:00:00,14.7,72,0.0,4.0,27,0,1014.4,9.6
2018-01-02 20:00:00,14.3,73,0.0,2.6,16,0,1015.2,9.5
2018-01-02 21:00:00,13.6,76,0.0,2.6,344,0,1015.6,9.4
2018-01-02 22:00:00,12.8,80,0.0,3.4,302,0,1015.8,9.3
2018-01-02 23:00:00,12.1,82,0.0,3.2,270,0,1015.7,9.1
2018-01-03 00:00:00,11.5,84,0.0,2.6,286,0,1015.4,8.9
2018-01-03 01:00:00,11.0,86,0.0,3.2,270,0,1014.9,8.7
2018-01-03 02:00:00,8.5,93,0.0,6.2,260,0,1014.5,7.5
2018-01-03 03:00:00,8.1,94,0.0,8.2,255,0,1014.2,7.2
2018-01-03 04:00:00,7.5,95,0.0,8.0,252,0,1014.0,6.8
2018-01-03 05:00:00,6.7,95,0.0,8.1,249,0,1014.9,5.9
2018-01-03 06:00:00,6.8,94,0.0,7.5,253,0,1015.2,6.0
2018-01-03 07:00:00,6.7,93,0.0,7.9,254,0,1016.0,5.6
2018-01-03 08:00:00,8.9,83,0.0,6.5,267,0,1017.1,6.2
2018-01-03 09:00:00,12.0,74,0.0,5.5,281,0,1017.8,7.4
2018-01-03 10:00:00,14.9,65,0.0,5.8,292,0,1018.1,8.4
2018-01-03 11:00:00,16.8,59,0.0,7.3,303,0,1017.1,8.7
2018-01-03 12:00:00,18.2,53,0.0,8.8,305,0,1016.1,8.3
2018-01-03 13:00:00,19.2,48,0.0,10.1,305,0,1014.9,7.8
